Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Logistic Regression,0.6111,0.6305,0.6049,0.6205,0.606,0.2222,0.2279,0.0067,2,minmax
SVM - Linear Kernel,0.5741,0.6036,0.6667,0.5619,0.6097,0.1481,0.1511,0.0067,2,minmax
Naive Bayes,0.5494,0.5992,0.4568,0.5677,0.5041,0.0988,0.1026,0.0067,2,minmax
Extra Trees Classifier,0.5679,0.5821,0.5679,0.5679,0.5679,0.1358,0.1358,0.0433,2,minmax
K Neighbors Classifier,0.5494,0.5654,0.4815,0.5645,0.516,0.0988,0.102,0.0133,2,minmax
Random Forest Classifier,0.5062,0.5592,0.4938,0.5148,0.4975,0.0123,0.0112,0.0467,2,minmax
Quadratic Discriminant Analysis,0.5062,0.5153,0.5309,0.489,0.4946,0.0123,0.0158,0.0067,2,minmax
CatBoost Classifier,0.4691,0.4902,0.4444,0.4677,0.4548,-0.0617,-0.0622,1.0133,2,minmax
Extreme Gradient Boosting,0.4383,0.4618,0.4074,0.4283,0.4158,-0.1235,-0.1253,0.02,2,minmax
