config,scaler,model,AUC_CV,Acc_CV,Acc_holdout
1,none,GaussianNB,0.5741,0.5556,0.5555555555555556
1,standard,SGDClassifier,0.6667,0.6667,0.6666666666666666
1,minmax,SGDClassifier,0.6111,0.6111,0.6111111111111112
2,none,GaussianNB,0.5741,0.5556,0.5555555555555556
2,standard,SGDClassifier,0.7222,0.7222,0.7222222222222222
2,minmax,LogisticRegression,0.7284,0.7222,0.7222222222222222
3,none,GaussianNB,0.5741,0.5556,0.5555555555555556
3,standard,SGDClassifier,0.6667,0.6667,0.6666666666666666
3,minmax,SGDClassifier,0.7222,0.7222,0.7222222222222222
4,none,GaussianNB,0.5741,0.5556,0.5555555555555556
4,standard,SGDClassifier,0.6667,0.6667,0.6666666666666666
4,minmax,LogisticRegression,0.7284,0.6667,0.6666666666666666
